Woonplaats,State,StateFull,Constellation,Bloodtype,Pounds,Kilograms,FeetInches,Centimeters,Gender
Groningen,GR,Groningen,Scorpio,O+,126.3,57.4,"6' 2""",187,male
Veenendaal,UT,Utrecht,Aquarius,O+,151.8,69,"5' 5""",164,male
Vleuten,UT,Utrecht,Leo,A+,155.1,70.5,"5' 7""",170,female
Bovensmilde,DR,Drenthe,Sagittarius,O+,218,99.1,"5' 4""",163,male
Puth,LI,Limburg,Pisces,A+,152.9,69.5,"6' 2""",188,male
Rotterdam,ZH,Zuid-Holland,Scorpio,B+,195.1,88.7,"6' 0""",182,male
Amsterdam,NH,Noord-Holland,Virgo,A-,226.2,102.8,"5' 4""",163,male
Oudehorne,FR,Friesland,Aquarius,O+,153.1,69.6,"5' 3""",161,female
Velp,GE,Gelderland,Aquarius,B+,164.1,74.6,"5' 2""",157,female
Culemborg,GE,Gelderland,Libra,A+,136.4,62,"6' 1""",185,male
Heemstede,NH,Noord-Holland,Taurus,A+,125,56.8,"5' 2""",157,female
Waalwijk,NB,Noord-Brabant,Pisces,AB+,142.1,64.6,"5' 1""",156,female
Emst,GE,Gelderland,Pisces,AB+,189.9,86.3,"5' 9""",175,male
Goes,ZE,Zeeland,Pisces,A+,140.8,64,"5' 0""",152,female
Baarland,ZE,Zeeland,Cancer,O+,195.6,88.9,"5' 1""",156,female
Huizen,NH,Noord-Holland,Libra,B+,195.6,88.9,"5' 1""",156,female
Warns,FR,Friesland,Cancer,O+,217.1,98.7,"5' 3""",160,female
Amsterdam,NH,Noord-Holland,Libra,A+,173.1,78.7,"5' 3""",159,female
Hellevoetsluis,ZH,Zuid-Holland,Aries,O+,230.6,104.8,"5' 10""",178,male
Hegebeintum,FR,Friesland,Taurus,O+,208.3,94.7,"5' 3""",160,female
Opheusden,GE,Gelderland,Aries,A+,208.1,94.6,"5' 7""",169,female
Den Haag,ZH,Zuid-Holland,Pisces,O+,196.7,89.4,"5' 5""",165,female
Utrecht,UT,Utrecht,Scorpio,AB+,161.9,73.6,"5' 8""",172,male
Schagen,NH,Noord-Holland,Capricorn,B+,145,65.9,"5' 6""",167,female
Donkerbroek,FR,Friesland,Taurus,A-,211.4,96.1,"5' 9""",175,male
Well,GE,Gelderland,Capricorn,A-,209.9,95.4,"5' 10""",179,male
Heemstede,NH,Noord-Holland,Sagittarius,A+,228.1,103.7,"6' 0""",184,male
Haarlem,NH,Noord-Holland,Cancer,A+,147.2,66.9,"5' 3""",159,female
Amsterdam,NH,Noord-Holland,Leo,O+,137.5,62.5,"5' 4""",162,female
Noordwijkerhout,ZH,Zuid-Holland,Pisces,B+,227.5,103.4,"5' 6""",167,female
Oosterhout,NB,Noord-Brabant,Virgo,O+,217.4,98.8,"5' 10""",178,male
Weesp,NH,Noord-Holland,Aquarius,O+,225.3,102.4,"5' 9""",175,male
Leersum,UT,Utrecht,Leo,B+,169.6,77.1,"5' 6""",167,male
Wormer,NH,Noord-Holland,Pisces,A+,183.9,83.6,"5' 0""",152,female
Deil,GE,Gelderland,Aquarius,AB+,150.3,68.3,"5' 5""",166,male
Sneek,FR,Friesland,Capricorn,A+,203.9,92.7,"5' 10""",179,male
Bunschoten-Spakenburg,UT,Utrecht,Libra,A+,176.9,80.4,"5' 9""",175,male
Hoogerheide,NB,Noord-Brabant,Cancer,O+,208.6,94.8,"5' 11""",181,male
Amersfoort,UT,Utrecht,Pisces,O+,217.4,98.8,"5' 9""",176,male
Culemborg,GE,Gelderland,Aries,O+,187.2,85.1,"6' 0""",182,male
Zoetermeer,ZH,Zuid-Holland,Sagittarius,O-,150.9,68.6,"5' 5""",165,male
Kloetinge,ZE,Zeeland,Pisces,B+,172.9,78.6,"5' 1""",154,female
Spijkenisse,ZH,Zuid-Holland,Capricorn,O+,133.1,60.5,"5' 11""",181,male
Den Haag,ZH,Zuid-Holland,Capricorn,B+,174,79.1,"5' 11""",181,male
Hengelo,OV,Overijssel,Aquarius,A+,139.5,63.4,"5' 3""",159,female
Bergen op Zoom,NB,Noord-Brabant,Leo,B+,167.9,76.3,"5' 11""",180,male
Veenendaal,UT,Utrecht,Gemini,B+,190.1,86.4,"5' 5""",165,female
Apeldoorn,GE,Gelderland,Capricorn,O+,144.5,65.7,"5' 3""",160,female
Utrecht,UT,Utrecht,Virgo,O+,185,84.1,"5' 10""",177,male
Geesbrug,DR,Drenthe,Aquarius,O-,203.7,92.6,"5' 2""",158,female
Zwolle,OV,Overijssel,Gemini,AB+,226.8,103.1,"5' 6""",167,female
Finsterwolde,GR,Groningen,Libra,A+,148.7,67.6,"6' 2""",187,male
Oud-Vossemeer,ZE,Zeeland,Leo,O+,230.8,104.9,"5' 7""",171,female
Heerlen,LI,Limburg,Pisces,O+,193.6,88,"5' 11""",181,male
Sint Maarten,NH,Noord-Holland,Aquarius,B-,173.6,78.9,"5' 10""",178,male
Ruinerwold,DR,Drenthe,Libra,O+,192.3,87.4,"6' 1""",186,male
Geleen,LI,Limburg,Taurus,O+,196,89.1,"5' 4""",163,female
Dordrecht,ZH,Zuid-Holland,Virgo,O+,244,110.9,"6' 0""",183,male
Veldhoven,NB,Noord-Brabant,Capricorn,O+,113.1,51.4,"5' 0""",153,female
Rotterdam,ZH,Zuid-Holland,Pisces,A+,189.4,86.1,"5' 10""",178,male
Hilversum,NH,Noord-Holland,Scorpio,O+,159.7,72.6,"5' 9""",174,male
Voorschoten,ZH,Zuid-Holland,Pisces,A+,141.2,64.2,"5' 7""",169,male
Den Haag,ZH,Zuid-Holland,Leo,A+,222.4,101.1,"5' 10""",178,male
Bennekom,GE,Gelderland,Sagittarius,AB-,190.7,86.7,"5' 6""",167,male
Hoorn,NH,Noord-Holland,Virgo,B+,227.9,103.6,"5' 9""",176,male
Harderwijk,GE,Gelderland,Gemini,B+,177.1,80.5,"5' 6""",168,male
Krimpen aan den IJssel,ZH,Zuid-Holland,Sagittarius,O+,191.8,87.2,"5' 11""",180,male
Nijeveen,DR,Drenthe,Libra,A+,199.8,90.8,"6' 1""",185,male
Hoensbroek,LI,Limburg,Aries,A+,143.7,65.3,"5' 7""",169,female
Groningen,GR,Groningen,Leo,AB+,153.3,69.7,"5' 9""",174,female
Utrecht,UT,Utrecht,Sagittarius,O-,201.1,91.4,"5' 10""",177,male
Beuningen,OV,Overijssel,Capricorn,B-,182.4,82.9,"5' 2""",157,female
Beverwijk,NH,Noord-Holland,Aquarius,A+,142.3,64.7,"5' 6""",168,female
Stampersgat,NB,Noord-Brabant,Gemini,O+,197.3,89.7,"5' 3""",161,female
Eindhoven,NB,Noord-Brabant,Virgo,O+,240.2,109.2,"5' 10""",178,male
Deventer,OV,Overijssel,Libra,B+,207,94.1,"5' 5""",164,female
Landgraaf,LI,Limburg,Taurus,B+,164.3,74.7,"6' 2""",187,male
Eindhoven,NB,Noord-Brabant,Cancer,B+,209.9,95.4,"5' 2""",158,female
Utrecht,UT,Utrecht,Gemini,B+,161.7,73.5,"5' 6""",168,female
Utrecht,UT,Utrecht,Cancer,B+,150.7,68.5,"5' 5""",166,male
Eindhoven,NB,Noord-Brabant,Libra,AB+,152,69.1,"5' 6""",168,male
Hapert,NB,Noord-Brabant,Pisces,O+,181.7,82.6,"5' 8""",173,male
Weert,LI,Limburg,Virgo,O+,157.3,71.5,"5' 5""",165,female
Bergen op Zoom,NB,Noord-Brabant,Capricorn,O+,173.4,78.8,"5' 2""",157,female
Tilburg,NB,Noord-Brabant,Taurus,O+,139.5,63.4,"6' 0""",183,male
Bilthoven,UT,Utrecht,Libra,O+,178.6,81.2,"5' 7""",170,male
Horst,LI,Limburg,Pisces,O-,188.5,85.7,"5' 9""",175,male
Staphorst,OV,Overijssel,Libra,B-,181.1,82.3,"5' 8""",173,female
Rosmalen,NB,Noord-Brabant,Libra,AB+,169.2,76.9,"5' 9""",176,male
Hengelo,OV,Overijssel,Scorpio,AB+,195.8,89,"5' 5""",165,female
Alkmaar,NH,Noord-Holland,Cancer,O+,235,106.8,"5' 3""",161,female
Nijmegen,GE,Gelderland,Virgo,O+,160.2,72.8,"5' 9""",174,male
Vuren,GE,Gelderland,Leo,B+,226.6,103,"5' 8""",173,male
Gouda,ZH,Zuid-Holland,Virgo,A+,226.2,102.8,"5' 9""",174,female
Hoogeveen,DR,Drenthe,Gemini,O+,125.2,56.9,"5' 10""",177,male
Thorn,LI,Limburg,Scorpio,AB+,246,111.8,"5' 11""",181,male
Nieuw Vennep,NH,Noord-Holland,Cancer,AB+,189.2,86,"4' 11""",151,female
Leimuiden,ZH,Zuid-Holland,Sagittarius,A+,189.9,86.3,"5' 6""",167,female
Naarden,NH,Noord-Holland,Taurus,O+,224.4,102,"6' 0""",183,male
Arnhem,GE,Gelderland,Aquarius,B+,196.5,89.3,"5' 1""",156,female
Almelo,OV,Overijssel,Virgo,B+,225.1,102.3,"5' 6""",168,male
Tuitjenhorn,NH,Noord-Holland,Gemini,A+,185,84.1,"5' 5""",165,male
Eerbeek,GE,Gelderland,Capricorn,O+,153.8,69.9,"5' 1""",156,female
Leuvenheim,GE,Gelderland,Taurus,O+,199.8,90.8,"5' 5""",165,female
Bakel,NB,Noord-Brabant,Libra,O+,169.8,77.2,"5' 6""",167,female
Nieuwerkerk aan den IJssel,ZH,Zuid-Holland,Leo,A+,199.8,90.8,"5' 10""",177,male
Wittem,LI,Limburg,Pisces,A+,211.2,96,"5' 8""",172,female
Broekhuizenvorst,LI,Limburg,Leo,O-,150.7,68.5,"5' 10""",178,male
Hattem,GE,Gelderland,Scorpio,A+,189.6,86.2,"5' 0""",152,female
Baarlo,LI,Limburg,Virgo,O+,199.5,90.7,"6' 1""",186,male
Bocholtz,LI,Limburg,Scorpio,B+,210.3,95.6,"5' 4""",162,female
Wirdum,FR,Friesland,Aries,A+,227.9,103.6,"5' 10""",178,male
Diemen,NH,Noord-Holland,Sagittarius,O-,176.2,80.1,"5' 6""",167,male
Luyksgestel,NB,Noord-Brabant,Scorpio,B+,207.2,94.2,"6' 2""",189,male
Meppel,DR,Drenthe,Leo,B+,181.7,82.6,"5' 9""",174,male
Alkmaar,NH,Noord-Holland,Aquarius,AB+,213.4,97,"5' 10""",178,male
Delft,ZH,Zuid-Holland,Sagittarius,A+,177.5,80.7,"5' 6""",168,male
Buinerveen,DR,Drenthe,Aries,O+,198.2,90.1,"6' 0""",184,male
Vlaardingen,ZH,Zuid-Holland,Virgo,O+,198.9,90.4,"5' 4""",163,male
Hilversum,NH,Noord-Holland,Capricorn,B+,152.7,69.4,"5' 5""",165,male
Apeldoorn,GE,Gelderland,Virgo,AB+,223.5,101.6,"6' 0""",182,male
Landgraaf,LI,Limburg,Leo,AB+,186.3,84.7,"5' 10""",179,male
Ter Apel,GR,Groningen,Sagittarius,O+,175.3,79.7,"5' 4""",163,female
Amersfoort,UT,Utrecht,Cancer,A+,240,109.1,"6' 1""",185,male
Oudorp,NH,Noord-Holland,Cancer,B+,222.4,101.1,"5' 5""",164,male
Delft,ZH,Zuid-Holland,Capricorn,A+,217.1,98.7,"5' 4""",163,female
Beilen,DR,Drenthe,Libra,O+,169.6,77.1,"6' 0""",184,male
Dwingeloo,DR,Drenthe,Libra,B+,145.9,66.3,"5' 3""",161,female
Alkmaar,NH,Noord-Holland,Virgo,O+,126.7,57.6,"5' 3""",160,female
Heeswijk-Dinther,NB,Noord-Brabant,Libra,A+,177.1,80.5,"6' 2""",189,male
De Meern,UT,Utrecht,Gemini,A+,201.1,91.4,"5' 10""",178,male
Lelystad,FL,Flevoland,Taurus,B+,148.5,67.5,"5' 3""",159,female
Hoogeveen,DR,Drenthe,Gemini,A-,209,95,"5' 10""",179,male
Leeuwarden,FR,Friesland,Gemini,O+,190.1,86.4,"6' 2""",188,male
Schoonoord,DR,Drenthe,Aries,AB+,197.8,89.9,"5' 1""",155,female
Overveen,NH,Noord-Holland,Scorpio,A+,195.4,88.8,"5' 8""",172,male
Emmeloord,FL,Flevoland,Pisces,O+,209.4,95.2,"6' 0""",182,male
Schagen,NH,Noord-Holland,Taurus,O+,171.4,77.9,"5' 9""",175,male
Nijmegen,GE,Gelderland,Aries,O+,127.8,58.1,"5' 5""",166,female
Amsterdam,NH,Noord-Holland,Aquarius,O+,123.6,56.2,"5' 0""",153,female
America,LI,Limburg,Aquarius,O+,139.9,63.6,"6' 1""",185,male
Rotterdam,ZH,Zuid-Holland,Pisces,AB+,211.6,96.2,"5' 4""",163,female
Den Haag,ZH,Zuid-Holland,Scorpio,B+,179.5,81.6,"5' 1""",155,female
Groesbeek,GE,Gelderland,Sagittarius,AB+,224,101.8,"6' 1""",186,male
Groenlo,GE,Gelderland,Capricorn,A+,196.2,89.2,"5' 8""",173,male
Breda,NB,Noord-Brabant,Gemini,O+,247.5,112.5,"6' 2""",188,male
Rotterdam,ZH,Zuid-Holland,Gemini,A+,210.1,95.5,"5' 7""",169,female
Heerlen,LI,Limburg,Capricorn,B+,143.7,65.3,"5' 9""",174,female
Eindhoven,NB,Noord-Brabant,Aries,B+,180,81.8,"5' 4""",163,female
Apeldoorn,GE,Gelderland,Sagittarius,B+,113.3,51.5,"5' 3""",161,female
Steenderen,GE,Gelderland,Sagittarius,AB-,169.6,77.1,"5' 4""",162,female
Borculo,GE,Gelderland,Libra,A+,189,85.9,"5' 7""",169,female
Erica,DR,Drenthe,Virgo,O-,195.1,88.7,"5' 5""",164,male
Delft,ZH,Zuid-Holland,Scorpio,A+,158.8,72.2,"5' 8""",172,male
Wervershoof,NH,Noord-Holland,Taurus,A+,141.5,64.3,"5' 7""",169,female
Leerdam,ZH,Zuid-Holland,Sagittarius,AB+,157.5,71.6,"5' 8""",172,male
Lobith,GE,Gelderland,Scorpio,A+,209.2,95.1,"5' 9""",175,male
Zutphen,GE,Gelderland,Gemini,A+,154.2,70.1,"5' 6""",168,female
Etten-Leur,NB,Noord-Brabant,Virgo,AB+,194.9,88.6,"5' 3""",160,female
Mijnsheerenland,ZH,Zuid-Holland,Scorpio,O+,224.6,102.1,"5' 10""",177,male
Tiendeveen,DR,Drenthe,Capricorn,O+,186.6,84.8,"5' 8""",173,female
Zonnemaire,ZE,Zeeland,Aquarius,O+,215.8,98.1,"5' 1""",156,female
Den Hout,NB,Noord-Brabant,Taurus,A+,243.1,110.5,"5' 8""",173,male
Callantsoog,NH,Noord-Holland,Pisces,A-,225.1,102.3,"5' 5""",165,female
Naaldwijk,ZH,Zuid-Holland,Scorpio,AB+,174.5,79.3,"5' 3""",161,female
Sinderen,GE,Gelderland,Aquarius,O+,118.4,53.8,"5' 0""",153,female
Heijningen,NB,Noord-Brabant,Pisces,B+,154.7,70.3,"5' 5""",165,female
Amstelveen,NH,Noord-Holland,Capricorn,A+,113.1,51.4,"5' 4""",163,female
Brouwershaven,ZE,Zeeland,Virgo,B+,136.2,61.9,"6' 2""",187,male
Waarder,ZH,Zuid-Holland,Aquarius,A+,110.9,50.4,"5' 6""",167,female
Joure,FR,Friesland,Taurus,O+,172.9,78.6,"4' 11""",151,female
Amstelveen,NH,Noord-Holland,Virgo,AB+,227.7,103.5,"5' 10""",179,male
Assen,DR,Drenthe,Virgo,A+,218.5,99.3,"5' 1""",156,female
Amsterdam,NH,Noord-Holland,Aries,A+,200.9,91.3,"5' 7""",169,male
Aalsmeer,NH,Noord-Holland,Cancer,AB+,162.4,73.8,"5' 5""",166,female
Utrecht,UT,Utrecht,Pisces,A+,111.1,50.5,"5' 8""",172,female
Rijswijk,ZH,Zuid-Holland,Pisces,A+,153.3,69.7,"5' 7""",169,male
Voorhout,ZH,Zuid-Holland,Leo,B+,178,80.9,"4' 11""",151,female
Deurze,DR,Drenthe,Capricorn,AB+,168.5,76.6,"5' 9""",176,male
Bergen op Zoom,NB,Noord-Brabant,Aries,A+,209.2,95.1,"5' 7""",171,male
Dordrecht,ZH,Zuid-Holland,Leo,B+,195.4,88.8,"5' 7""",171,female
Purmerend,NH,Noord-Holland,Capricorn,O+,217.4,98.8,"5' 3""",159,female
Rotterdam,ZH,Zuid-Holland,Libra,O+,156,70.9,"6' 1""",186,male
Gorinchem,ZH,Zuid-Holland,Libra,O+,184.4,83.8,"5' 11""",180,male
Grijpskerk,GR,Groningen,Taurus,B+,129.8,59,"5' 3""",159,female
Enschede,OV,Overijssel,Cancer,AB+,143.4,65.2,"5' 6""",167,female
Bladel,NB,Noord-Brabant,Cancer,A+,186.6,84.8,"5' 2""",157,female
Delft,ZH,Zuid-Holland,Capricorn,O-,164.6,74.8,"5' 2""",157,female
Amersfoort,UT,Utrecht,Leo,A-,164.3,74.7,"5' 10""",178,male
Veenendaal,UT,Utrecht,Leo,A+,239.1,108.7,"5' 9""",176,male
Groessen,GE,Gelderland,Aquarius,O+,163.2,74.2,"5' 9""",174,male
Leiden,ZH,Zuid-Holland,Cancer,O+,218.9,99.5,"5' 10""",178,male
Den Haag,ZH,Zuid-Holland,Pisces,B+,201.5,91.6,"6' 1""",186,male
Huizen,NH,Noord-Holland,Taurus,A+,132.9,60.4,"5' 7""",171,female
Dongen,NB,Noord-Brabant,Libra,O+,131.1,59.6,"5' 5""",166,female
Wolphaartsdijk,ZE,Zeeland,Cancer,A+,137.9,62.7,"5' 5""",165,female
Millingen aan de Rijn,GE,Gelderland,Capricorn,O+,186.8,84.9,"6' 0""",183,male
Enschede,OV,Overijssel,Pisces,O+,205.3,93.3,"5' 6""",168,male
Wons,FR,Friesland,Leo,B+,162.6,73.9,"5' 10""",179,male
Oentsjerk,FR,Friesland,Gemini,B+,227,103.2,"6' 2""",187,male
Den Haag,ZH,Zuid-Holland,Pisces,O+,132.9,60.4,"5' 9""",176,male
Velp,GE,Gelderland,Taurus,B+,165.2,75.1,"6' 0""",182,male
Zundert,NB,Noord-Brabant,Scorpio,B+,202,91.8,"6' 0""",182,male
Rotterdam,ZH,Zuid-Holland,Capricorn,A+,192.7,87.6,"5' 5""",164,female
Urmond,LI,Limburg,Pisces,A+,166.1,75.5,"5' 7""",169,male
Vijfhuizen,NH,Noord-Holland,Leo,A+,154.7,70.3,"5' 9""",176,male
Lelystad,FL,Flevoland,Virgo,B+,114.8,52.2,"5' 2""",157,female
Amsterdam-Zuidoost,NH,Noord-Holland,Sagittarius,A+,154.7,70.3,"5' 3""",161,female
Rotterdam,ZH,Zuid-Holland,Virgo,A+,200.6,91.2,"5' 5""",165,female
Leiden,ZH,Zuid-Holland,Pisces,O+,173.4,78.8,"5' 8""",172,female
Cuijk,NB,Noord-Brabant,Virgo,A+,142.8,64.9,"5' 7""",170,male
Naaldwijk,ZH,Zuid-Holland,Pisces,O+,180,81.8,"6' 2""",188,male
Roggel,LI,Limburg,Aries,A+,177.3,80.6,"5' 9""",175,male
Niehove,GR,Groningen,Gemini,O+,221.8,100.8,"5' 10""",177,male
Almere,FL,Flevoland,Sagittarius,O+,239.6,108.9,"5' 6""",167,male
Almelo,OV,Overijssel,Virgo,B+,204.2,92.8,"5' 5""",165,female
Delft,ZH,Zuid-Holland,Pisces,B+,228.4,103.8,"6' 2""",188,male
Zoetermeer,ZH,Zuid-Holland,Leo,B+,200.6,91.2,"5' 5""",166,male
Beilen,DR,Drenthe,Capricorn,O+,173.8,79,"5' 5""",166,male
Ewijk,GE,Gelderland,Pisces,A+,230.3,104.7,"5' 10""",177,male
Oosterend,NH,Noord-Holland,Virgo,O+,231.9,105.4,"5' 9""",175,male
Utrecht,UT,Utrecht,Taurus,O+,136,61.8,"5' 8""",172,female
Delft,ZH,Zuid-Holland,Sagittarius,B+,192.1,87.3,"5' 10""",179,male
Vlissingen,ZE,Zeeland,Taurus,O+,144.8,65.8,"6' 0""",184,male
Almere,FL,Flevoland,Cancer,O-,214.9,97.7,"5' 3""",159,female
Eindhoven,NB,Noord-Brabant,Aries,A+,229,104.1,"5' 9""",176,male
Losser,OV,Overijssel,Scorpio,AB-,197.8,89.9,"5' 7""",171,male
Nijmegen,GE,Gelderland,Taurus,O+,192.9,87.7,"5' 6""",167,male
Velsen-Noord,NH,Noord-Holland,Cancer,B+,203.9,92.7,"5' 4""",163,male
Baarn,UT,Utrecht,Cancer,B+,241.1,109.6,"5' 8""",173,male
Almelo,OV,Overijssel,Leo,O+,139.5,63.4,"6' 0""",183,male
Den Haag,ZH,Zuid-Holland,Cancer,O+,146.7,66.7,"6' 1""",185,male
Hilversum,NH,Noord-Holland,Leo,O+,188.5,85.7,"6' 0""",184,male
Capelle aan den IJssel,ZH,Zuid-Holland,Capricorn,A+,178.4,81.1,"5' 5""",165,female
Eindhoven,NB,Noord-Brabant,Virgo,A+,143.7,65.3,"5' 11""",180,male
Amersfoort,UT,Utrecht,Aquarius,O+,235.6,107.1,"6' 0""",182,male
Purmerend,NH,Noord-Holland,Aquarius,O-,225.5,102.5,"5' 5""",166,male
Groesbeek,GE,Gelderland,Pisces,A+,156,70.9,"5' 5""",164,male
Voorschoten,ZH,Zuid-Holland,Pisces,B+,156.9,71.3,"6' 2""",187,male
Assendelft,NH,Noord-Holland,Gemini,O+,137.9,62.7,"5' 5""",166,female
Emmeloord,FL,Flevoland,Pisces,A+,149.6,68,"5' 10""",177,male
Zutphen,GE,Gelderland,Aries,B+,163.7,74.4,"5' 11""",180,male
Rotterdam,ZH,Zuid-Holland,Aries,B+,155.3,70.6,"5' 2""",158,female
Bergen op Zoom,NB,Noord-Brabant,Gemini,A+,211.6,96.2,"5' 9""",174,female
Almere,FL,Flevoland,Pisces,O+,234.5,106.6,"5' 10""",178,male
Cadzand,ZE,Zeeland,Aquarius,B+,160.4,72.9,"5' 11""",180,male
Wassenaar,ZH,Zuid-Holland,Libra,AB+,237.2,107.8,"5' 4""",162,female
Vollenhove,OV,Overijssel,Taurus,B+,220.7,100.3,"5' 1""",154,female
Eindhoven,NB,Noord-Brabant,Pisces,O+,240,109.1,"5' 11""",181,male
Haarlem,NH,Noord-Holland,Aquarius,B+,147,66.8,"5' 7""",169,female
Handel,NB,Noord-Brabant,Aquarius,O+,242.7,110.3,"5' 6""",167,male
Den Haag,ZH,Zuid-Holland,Sagittarius,O+,139,63.2,"5' 7""",170,male
Amstelveen,NH,Noord-Holland,Aquarius,O+,218.9,99.5,"5' 5""",165,female
Bussum,NH,Noord-Holland,Sagittarius,O+,161.9,73.6,"5' 7""",170,female
Rotterdam,ZH,Zuid-Holland,Gemini,O+,200.2,91,"6' 0""",182,male
Goes,ZE,Zeeland,Capricorn,O+,128.5,58.4,"5' 4""",162,female
Ede,GE,Gelderland,Virgo,O-,185.7,84.4,"5' 11""",180,male
Leiden,ZH,Zuid-Holland,Libra,B+,141.7,64.4,"5' 10""",179,male
Numansdorp,ZH,Zuid-Holland,Pisces,A+,191.8,87.2,"5' 3""",161,female
Leeuwarden,FR,Friesland,Gemini,A+,192.9,87.7,"5' 7""",170,male
Wormer,NH,Noord-Holland,Aquarius,A+,211.4,96.1,"5' 10""",177,male
Winterswijk,GE,Gelderland,Libra,B+,168.3,76.5,"5' 11""",180,male
Amsterdam,NH,Noord-Holland,Cancer,A+,202.2,91.9,"5' 2""",157,female
Beverwijk,NH,Noord-Holland,Cancer,O-,143.7,65.3,"5' 1""",154,female
Balkbrug,OV,Overijssel,Aquarius,A+,194,88.2,"5' 10""",178,male
Westeremden,GR,Groningen,Taurus,B-,207,94.1,"5' 7""",170,female
Zeist,UT,Utrecht,Libra,O+,148.3,67.4,"5' 10""",177,male
Amsterdam,NH,Noord-Holland,Capricorn,B+,225.1,102.3,"6' 0""",182,male
Haarlem,NH,Noord-Holland,Sagittarius,A+,119.7,54.4,"5' 7""",170,female
Helmond,NB,Noord-Brabant,Taurus,A+,214.3,97.4,"5' 6""",168,male
Rijswijk,ZH,Zuid-Holland,Cancer,O+,219.1,99.6,"5' 9""",174,male
Den Haag,ZH,Zuid-Holland,Aries,O+,224.8,102.2,"5' 7""",171,male
Haarlem,NH,Noord-Holland,Leo,A+,178.2,81,"5' 10""",179,male
Leek,GR,Groningen,Scorpio,O+,163,74.1,"5' 7""",169,male
Heukelum,GE,Gelderland,Sagittarius,O+,186.1,84.6,"5' 10""",177,male
Amersfoort,UT,Utrecht,Sagittarius,O+,138.2,62.8,"5' 3""",159,female
Nijmegen,GE,Gelderland,Pisces,B+,215.4,97.9,"5' 1""",154,female
Franeker,FR,Friesland,Leo,A+,222.9,101.3,"5' 6""",168,male
s-Hertogenbosch,NB,Noord-Brabant,Aries,O+,148.7,67.6,"5' 7""",170,male
Loenen aan de Vecht,UT,Utrecht,Leo,A-,124.5,56.6,"5' 7""",169,female
Wijnandsrade,LI,Limburg,Sagittarius,A+,134.9,61.3,"5' 2""",157,female
Oldenzaal,OV,Overijssel,Taurus,O+,217.4,98.8,"5' 6""",167,female
Arkel,ZH,Zuid-Holland,Aries,AB+,159.7,72.6,"5' 8""",172,female
Ermelo,GE,Gelderland,Virgo,AB+,151.6,68.9,"5' 4""",162,female
Bussum,NH,Noord-Holland,Virgo,AB-,187.9,85.4,"5' 8""",172,female
Heemstede,NH,Noord-Holland,Virgo,B-,138.6,63,"6' 0""",183,male
Noordwijk,ZH,Zuid-Holland,Virgo,B+,216.9,98.6,"6' 1""",185,male
Utrecht,UT,Utrecht,Virgo,O+,115.3,52.4,"5' 7""",169,female
Sappemeer,GR,Groningen,Sagittarius,A+,224.4,102,"5' 4""",162,female
Zwijndrecht,ZH,Zuid-Holland,Aquarius,O+,198,90,"5' 11""",181,male
Winterswijk,GE,Gelderland,Capricorn,A+,185.7,84.4,"5' 8""",172,female
Volkel,NB,Noord-Brabant,Sagittarius,A+,188.3,85.6,"5' 3""",159,female
Schijndel,NB,Noord-Brabant,Aries,B+,154.2,70.1,"5' 7""",171,female
Oosterbeek,GE,Gelderland,Leo,O+,216,98.2,"5' 8""",173,female
Woerden,UT,Utrecht,Aries,AB+,145,65.9,"5' 6""",168,male
Yerseke,ZE,Zeeland,Pisces,A+,233.2,106,"6' 1""",186,male
Valkenswaard,NB,Noord-Brabant,Sagittarius,B+,107.6,48.9,"5' 2""",158,female
Sittard,LI,Limburg,Cancer,O+,136.4,62,"5' 5""",166,female
Landsmeer,NH,Noord-Holland,Taurus,O+,153.6,69.8,"5' 11""",180,male
Delft,ZH,Zuid-Holland,Aries,O+,139.7,63.5,"5' 3""",159,female
Warnsveld,GE,Gelderland,Virgo,O+,149.4,67.9,"5' 6""",167,female
Vught,NB,Noord-Brabant,Sagittarius,AB+,135.5,61.6,"5' 4""",163,female
Wilhelminadorp,ZE,Zeeland,Aries,O+,158.4,72,"5' 6""",168,female
Nijmegen,GE,Gelderland,Aquarius,A+,146.1,66.4,"5' 9""",176,male
Duiven,GE,Gelderland,Scorpio,O+,178.2,81,"5' 11""",181,male
Luchthaven Schiphol,NH,Noord-Holland,Capricorn,O+,134.4,61.1,"5' 2""",158,female
Prinsenbeek,NB,Noord-Brabant,Sagittarius,A+,137.1,62.3,"5' 2""",157,female
Rotterdam,ZH,Zuid-Holland,Libra,B+,190.7,86.7,"5' 7""",171,male
Oosterhout,NB,Noord-Brabant,Scorpio,O+,166.5,75.7,"5' 6""",168,male
Lunteren,GE,Gelderland,Leo,A+,204.2,92.8,"5' 10""",177,male
Rotterdam,ZH,Zuid-Holland,Libra,O-,170.5,77.5,"6' 2""",187,male
Amsterdam,NH,Noord-Holland,Virgo,B+,145.9,66.3,"5' 8""",173,male
Druten,GE,Gelderland,Aries,O+,139.9,63.6,"5' 3""",161,female
Lelystad,FL,Flevoland,Aries,B+,191.4,87,"5' 4""",163,male
Rotterdam,ZH,Zuid-Holland,Aries,O+,147.4,67,"5' 6""",167,female
Oudelande,ZE,Zeeland,Virgo,O+,119.5,54.3,"5' 1""",155,female
Ede,GE,Gelderland,Pisces,B+,182.2,82.8,"5' 6""",167,female
Diever,DR,Drenthe,Leo,A+,196.5,89.3,"6' 2""",189,male
